Date;Produit;CA;Marge
20140101;LL1100;1135;341
20140101;LL1200;2000;700
20140101;LV1620;4420;1503
20140101;SL1000;3500;980
20140101;F120;2600;884
20140101;R080;800;248
20140101;GP700;450;113
20140101;C470;1500;450
20140101;RC3000p;1250;325
20140101;C260;2200;770
20140201;LL1100;1333;240
20140201;LL1200;1328;252
20140201;LV1620;1205;229
20140201;SL1000;1217;268
20140201;F120;1290;232
20140201;R080;1343;282
20140201;GP700;1403;351
20140201;C470;1293;284
20140201;RC3000p;1292;323
20140201;C260;1295;311
20140301;LL1100;919;193
20140301;LL1200;936;206
20140301;LV1620;978;186
20140301;SL1000;940;226
20140301;F120;928;213
20140301;R080;933;177
20140301;GP700;915;220
20140301;C470;939;225
20140301;RC3000p;969;242
20140301;C260;971;243
20140401;LL1100;826;190
20140401;LL1200;918;202
20140401;LV1620;896;215
20140401;SL1000;824;190
20140401;F120;868;217
20140401;R080;892;161
20140401;GP700;900;189
20140401;C470;963;173
20140401;RC3000p;976;215
20140401;C260;980;245
20140501;LL1100;913;210
20140501;LL1200;894;215
20140501;LV1620;954;210
20140501;SL1000;907;200
20140501;F120;846;169
20140501;R080;859;172
20140501;GP700;882;185
20140501;C470;916;211
20140501;RC3000p;891;205
20140501;C260;901;207
20140601;LL1100;1224;306
20140601;LL1200;844;152
20140601;LV1620;1279;307
20140601;SL1000;1359;313
20140601;F120;991;198
20140601;R080;1039;229
20140601;GP700;1370;343
20140601;C470;940;226
20140601;RC3000p;1296;233
20140601;C260;1035;186
20140701;LL1100;1702;323
20140701;LL1200;1581;395
20140701;LV1620;1491;328
20140701;SL1000;1561;312
20140701;F120;1833;367
20140701;R080;1822;456
20140701;GP700;1466;323
20140701;C470;1551;341
20140701;RC3000p;1425;271
20140701;C260;1408;338
20140801;LL1100;1322;278
20140801;LL1200;1376;248
20140801;LV1620;1424;313
20140801;SL1000;1278;256
20140801;F120;1349;243
20140801;R080;1432;329
20140801;GP700;1394;349
20140801;C470;1320;317
20140801;RC3000p;1359;326
20140801;C260;1277;230
20140901;LL1100;1657;381
20140901;LL1200;1898;361
20140901;LV1620;1763;441
20140901;SL1000;1704;324
20140901;F120;1693;423
20140901;R080;1455;335
20140901;GP700;1734;399
20140901;C470;1962;432
20140901;RC3000p;1771;354
20140901;C260;1569;345
20141001;LL1100;1087;228
20141001;LL1200;976;185
20141001;LV1620;1085;260
20141001;SL1000;1300;299
20141001;F120;975;185
20141001;R080;1037;197
20141001;GP700;1143;274
20141001;C470;942;217
20141001;RC3000p;1001;240
20141001;C260;1132;215
20141101;LL1100;1406;352
20141101;LL1200;1429;272
20141101;LV1620;1321;264
20141101;SL1000;1430;300
20141101;F120;1167;268
20141101;R080;1173;211
20141101;GP700;1184;296
20141101;C470;1018;234
20141101;RC3000p;1442;303
20141101;C260;1014;213
20141201;LL1100;1053;200
20141201;LL1200;1106;277
20141201;LV1620;1324;238
20141201;SL1000;1281;307
20141201;F120;1499;300
20141201;R080;1316;290
20141201;GP700;1019;183
20141201;C470;1254;288
20141201;RC3000p;1349;283
20141201;C260;1087;272
