Date;Produit;CA;Marge
20140101;LL1100;1200;336
20140101;LL1200;2500;675
20140101;LV1620;4500;1215
20140101;SL1000;3600;900
20140101;F120;4800;1248
20140101;R080;1000;260
20140101;GP700;500;165
20140101;C470;3200;1056
20140101;RC3000p;1200;420
20140101;C260;2400;648
20140201;LL1100;1315;250
20140201;LL1200;1241;298
20140201;LV1620;1243;298
20140201;SL1000;1301;247
20140201;F120;1253;251
20140201;R080;1371;302
20140201;GP700;1212;291
20140201;C470;1288;296
20140201;RC3000p;1265;316
20140201;C260;1241;236
20140301;LL1100;967;203
20140301;LL1200;965;241
20140301;LV1620;912;201
20140301;SL1000;939;216
20140301;F120;940;197
20140301;R080;910;173
20140301;GP700;944;236
20140301;C470;905;172
20140301;RC3000p;924;213
20140301;C260;915;165
20140401;LL1100;934;168
20140401;LL1200;906;172
20140401;LV1620;956;172
20140401;SL1000;847;152
20140401;F120;896;179
20140401;R080;915;192
20140401;GP700;977;215
20140401;C470;958;192
20140401;RC3000p;969;203
20140401;C260;959;201
20140501;LL1100;971;243
20140501;LL1200;942;188
20140501;LV1620;900;216
20140501;SL1000;884;212
20140501;F120;954;181
20140501;R080;855;197
20140501;GP700;800;184
20140501;C470;869;156
20140501;RC3000p;874;192
20140501;C260;871;200
20140601;LL1100;1276;293
20140601;LL1200;1283;321
20140601;LV1620;1299;325
20140601;SL1000;1388;319
20140601;F120;1041;239
20140601;R080;1082;249
20140601;GP700;941;169
20140601;C470;1146;264
20140601;RC3000p;1397;265
20140601;C260;1005;221
20140701;LL1100;1772;337
20140701;LL1200;1403;323
20140701;LV1620;1671;401
20140701;SL1000;1880;376
20140701;F120;1646;313
20140701;R080;1465;264
20140701;GP700;1818;400
20140701;C470;1870;355
20140701;RC3000p;1789;429
20140701;C260;1664;300
20140801;LL1100;1407;267
20140801;LL1200;1448;275
20140801;LV1620;1397;279
20140801;SL1000;1404;281
20140801;F120;1313;236
20140801;R080;1421;284
20140801;GP700;1406;253
20140801;C470;1353;298
20140801;RC3000p;1413;311
20140801;C260;1427;271
20140901;LL1100;1505;361
20140901;LL1200;1411;254
20140901;LV1620;1659;398
20140901;SL1000;1939;388
20140901;F120;1903;438
20140901;R080;1450;363
20140901;GP700;1868;411
20140901;C470;1527;305
20140901;RC3000p;1913;402
20140901;C260;1791;340
20141001;LL1100;988;178
20141001;LL1200;986;177
20141001;LV1620;967;232
20141001;SL1000;1300;312
20141001;F120;1142;251
20141001;R080;965;193
20141001;GP700;1033;238
20141001;C470;1037;207
20141001;RC3000p;1093;273
20141001;C260;1181;354
20141101;LL1100;1440;302
20141101;LL1200;1241;236
20141101;LV1620;1380;345
20141101;SL1000;1223;294
20141101;F120;1337;281
20141101;R080;1268;266
20141101;GP700;1265;240
20141101;C470;1496;314
20141101;RC3000p;1014;243
20141101;C260;955;229
20141201;LL1100;1145;286
20141201;LL1200;1066;192
20141201;LV1620;1477;295
20141201;SL1000;1147;229
20141201;F120;1185;249
20141201;R080;1384;263
20141201;GP700;1451;363
20141201;C470;1195;251
20141201;RC3000p;1139;239
20141201;C260;1417;326
