Date;Produit;CA;Marge
20140101;LL1100;850;272
20140101;LL1200;3200;960
20140101;LV1620;3900;1326
20140101;SL1000;3200;1120
20140101;F120;4150;1453
20140101;R080;850;221
20140101;GP700;910;228
20140101;C470;3150;945
20140101;RC3000p;1200;312
20140101;C260;2540;864
20140201;LL1100;1250;263
20140201;LL1200;1362;259
20140201;LV1620;1280;269
20140201;SL1000;1255;289
20140201;F120;1203;277
20140201;R080;1393;279
20140201;GP700;1273;318
20140201;C470;1292;297
20140201;RC3000p;1282;269
20140201;C260;1334;334
20140301;LL1100;940;188
20140301;LL1200;960;173
20140301;LV1620;911;210
20140301;SL1000;937;169
20140301;F120;942;170
20140301;R080;942;226
20140301;GP700;939;225
20140301;C470;978;176
20140301;RC3000p;938;169
20140301;C260;907;209
20140401;LL1100;933;177
20140401;LL1200;998;220
20140401;LV1620;965;193
20140401;SL1000;945;180
20140401;F120;992;179
20140401;R080;912;228
20140401;GP700;978;186
20140401;C470;964;241
20140401;RC3000p;878;193
20140401;C260;945;227
20140501;LL1100;856;214
20140501;LL1200;970;204
20140501;LV1620;817;196
20140501;SL1000;886;177
20140501;F120;841;210
20140501;R080;971;243
20140501;GP700;904;163
20140501;C470;902;226
20140501;RC3000p;991;248
20140501;C260;989;198
20140601;LL1100;826;182
20140601;LL1200;998;230
20140601;LV1620;1133;238
20140601;SL1000;967;213
20140601;F120;1156;266
20140601;R080;1391;306
20140601;GP700;1119;246
20140601;C470;1310;262
20140601;RC3000p;1308;275
20140601;C260;1203;241
20140701;LL1100;1527;305
20140701;LL1200;1484;297
20140701;LV1620;1626;325
20140701;SL1000;1530;383
20140701;F120;1892;397
20140701;R080;1503;376
20140701;GP700;1633;392
20140701;C470;1766;424
20140701;RC3000p;1505;301
20140701;C260;1520;334
20140801;LL1100;1358;326
20140801;LL1200;1379;248
20140801;LV1620;1286;309
20140801;SL1000;1440;331
20140801;F120;1257;239
20140801;R080;1395;251
20140801;GP700;1307;314
20140801;C470;1351;338
20140801;RC3000p;1372;329
20140801;C260;1412;311
20140901;LL1100;1586;365
20140901;LL1200;1499;285
20140901;LV1620;1826;438
20140901;SL1000;1658;332
20140901;F120;1956;391
20140901;R080;1569;361
20140901;GP700;1604;289
20140901;C470;1498;285
20140901;RC3000p;1871;337
20140901;C260;1552;279
20141001;LL1100;1088;218
20141001;LL1200;1137;227
20141001;LV1620;1051;210
20141001;SL1000;1300;273
20141001;F120;1092;218
20141001;R080;1089;250
20141001;GP700;1019;204
20141001;C470;1121;202
20141001;RC3000p;1171;222
20141001;C260;973;195
20141101;LL1100;1359;313
20141101;LL1200;1139;205
20141101;LV1620;1193;298
20141101;SL1000;1144;275
20141101;F120;1174;282
20141101;R080;1445;318
20141101;GP700;1048;252
20141101;C470;1115;245
20141101;RC3000p;1478;296
20141101;C260;1041;229
20141201;LL1100;1296;311
20141201;LL1200;1275;306
20141201;LV1620;1406;281
20141201;SL1000;1293;233
20141201;F120;1371;288
20141201;R080;1279;307
20141201;GP700;1316;316
20141201;C470;1347;296
20141201;RC3000p;1118;280
20141201;C260;1402;266
